usa,china
163,88
163,88
163,88
163,89
163,89
163,89
164,89
164,89
164,89
164,89
164,89
165,89
166,89
166,89
166,89
166,89
166,89
166,89
167,89
168,89
169,89
169,89
169,89
169,89
169,89
170,89
170,89
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
171,90
171,90
171,90
171,90
171,90
172,90
172,90
172,90
172,90
172,90
172,91
172,91
172,91
172,91
172,91
172,91
173,91
173,91
174,91
174,91
174,91
175,91
175,91
176,91
177,91
177,91
177,91
178,91
179,91
179,91
179,91
179,91
179,91
180,91
180,91
180,91
180,92
180,92
181,92
181,92
181,92
181,92
181,92
181,92
182,92
182,93
182,93
183,93
183,93
183,94
183,94
183,94
183,94
183,94
183,94
183,94
183,94
183,95
183,96
183,96
183,96
183,96
183,96
183,96
184,96
185,96
185,96
185,96
185,96
185,96
185,96
186,96
186,97
187,97
188,97
188,98
189,98
189,98
189,98
189,98
189,98
189,99
189,99
189,99
189,99
189,99
189,99
189,99
190,99
190,99
191,99
191,99
191,99
191,99
191,99
191,99
192,99
192,99
192,99
192,100
192,100
192,100
192,101
193,101
194,101
194,101
194,101
195,101
195,101
195,101
195,101
195,102
195,103
195,103
195,103
196,103
196,103
196,103
196,104
196,104
196,104
196,104
196,104
197,104
197,104
198,104
198,104
198,104
198,104
198,104
198,104
199,104
199,104
199,104
199,104
199,104
200,104
200,104
200,104
200,104
200,104
200,104
200,105
200,105
201,105
201,105
201,105
201,105
201,105
202,105
202,105
203,105
204,105
204,105
205,105
206,105
206,106
206,106
206,106
206,106
206,107
207,107
207,107
207,107
208,107
208,107
208,107
208,108
208,108
208,108
208,109
208,109
208,109
209,109
210,109
210,109
210,109
211,109
211,109
211,109
211,109
211,109
212,109
212,109
212,109
212,109
212,109
213,109
213,109
213,109
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,110
213,111
213,111
214,111
214,112
215,112
215,112
215,112
216,112
216,112
216,112
216,112
216,113
217,113
217,113
217,113
217,113
217,113
217,114
217,115
217,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
218,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
219,115
220,115
220,115
220,115
220,115
220,115
220,115
220,115
220,115
220,115
220,115
220,116
220,116
220,116
220,116
220,117
221,117
221,118
221,118
221,118
222,118
222,118
222,118
222,118
222,119
223,119
223,119
223,119
